"PMID","ncol","nrow","nwithbatch","deceased"
"16542501",15,23232,0,0
"16773188",24,19200,0,0
"16819509",37,22283,0,0
"17390049",16,19200,0,0
"18653328",23,12625,0,0
"18959792",79,33091,0,0
"19016304",36,54675,0,0
"19088021",74,54675,0,0
"19088021",155,54675,0,0
"19399471",62,22283,0,12
"19672874",36,22011,0,22
"19911421",30,3735,0,22
"19911421",109,3040,0,57
"19914252",55,54675,0,20
"19914252",177,54675,0,73
"19914252",238,54675,0,93
"19996206",290,54675,0,0
"20162577",111,54675,0,0
"21270110",148,54675,0,0
"21300766",155,22283,0,0
"21300766",176,19473,0,0
"21619627",83,22011,0,0
"21619627",90,22011,0,0
"21680303",189,54675,0,0
"21862635",141,41000,0,0
"22095227",59,54675,0,0
"22496204",96,54675,0,0
"22496922",90,54675,0,0
"22810696",130,17814,0,10
"22810696",195,20531,0,20
"23700391",566,54675,0,0
"PMID unknown",13,54675,0,0
"PMID unknown",22,54715,0,0
"PMID unknown",387,54675,0,0
